,query,latitude,longitude,block,street_name,building,postal,service_year
144,WOODLANDS SOUTH  MRT STATION TE3,1.42739605281442,103.79326432221,30,WOODLANDS DRIVE 17,WOODLANDS SOUTH MRT STATION (TE3),737741,2020
145,SPRINGLEAF MRT STATION TE4,1.39758106126824,103.817856949947,825,UPPER THOMSON ROAD,SPRINGLEAF MRT STATION (TE4),787140,2021
146,LENTOR MRT STATION TE5,1.38550657972169,103.835743809669,1,LENTOR DRIVE,LENTOR MRT STATION (TE5),789361,2021
147,MAYFLOWER MRT STATION TE6,1.37146318831015,103.836567766945,91,ANG MO KIO AVENUE 4,MAYFLOWER MRT STATION (TE6),569900,2021
148,BRIGHT HILL MRT STATION TE7,1.36328318545185,103.832893619992,100,SIN MING AVENUE,BRIGHT HILL MRT STATION (TE7),575737,2021
149,UPPER THOMSON MRT STATION TE8,1.35441643365401,103.832898468504,1,JALAN KELI,UPPER THOMSON MRT STATION (TE8),577937,2021
150,CALDECOTT MRT STATION TE9,1.33724561271722,103.840161782075,1,TOA PAYOH LINK,CALDECOTT MRT STATION (TE9),297608,2021
151,STEVENS MRT STATION TE11,1.31933437435349,103.825566965234,82,STEVENS ROAD,STEVENS MRT STATION (TE11),257879,2022
152,NAPIER MRT STATION TE12,1.30678223364785,103.818956796815,2,NAPIER ROAD,NAPIER MRT STATION (TE12),258511,2022
153,ORCHARD BOULEVARD MRT STATION TE13,1.30242224836722,103.823868523249,20,ORCHARD BOULEVARD,ORCHARD BOULEVARD MRT STATION (TE13),248654,2022
154,ORCHARD MRT STATION TE14,1.30304426265194,103.831375000068,301,ORCHARD BOULEVARD,ORCHARD MRT STATION (TE14),237974,2022
155,GREAT WORLD MRT STATION TE15,1.29394816169384,103.833720837731,351,RIVER VALLEY ROAD,GREAT WORLD MRT STATION (TE15),238384,2022
156,HAVELOCK MRT STATION TE16,1.28850523975311,103.833585838226,110,ZION ROAD,HAVELOCK MRT STATION (TE16),168604,2022
157,OUTRAM PARK MRT STATION TE17,1.28132964411173,103.839137557749,13,OUTRAM ROAD,OUTRAM PARK MRT STATION (TE17),169080,2022
158,MAXWELL MRT STATION TE18,1.28053329842878,103.843883670633,321,SOUTH BRIDGE ROAD,MAXWELL MRT STATION (TE18),58841,2022
159,SHENTON WAY MRT STATION TE19,1.2777168283425,103.850367596067,2,PARK STREET,SHENTON WAY MRT STATION (TE19),18928,2022
160,MARINA BAY MRT STATION TE20,1.27474173226842,103.855309167928,25,PARK STREET,MARINA BAY MRT STATION (TE20),18929,2022
161,GARDENS BY THE BAY MRT STATION TE22,1.27848725876303,103.867454664421,11,MARINA MALL,GARDENS BY THE BAY MRT STATION (TE22),19396,2022
